Date,Close
1/2/2018 16:00:00,125.15
1/3/2018 16:00:00,124.82
1/4/2018 16:00:00,125.46
1/5/2018 16:00:00,125.33
1/8/2018 16:00:00,125.31
1/9/2018 16:00:00,124.73
1/10/2018 16:00:00,125.03
1/11/2018 16:00:00,125.44
1/12/2018 16:00:00,126.96
1/16/2018 16:00:00,127.17
1/17/2018 16:00:00,126.14
1/18/2018 16:00:00,125.86
1/19/2018 16:00:00,126.42
1/22/2018 16:00:00,126.65
1/23/2018 16:00:00,127.28
1/24/2018 16:00:00,128.83
1/25/2018 16:00:00,127.97
1/26/2018 16:00:00,128.07
1/29/2018 16:00:00,127.35
1/30/2018 16:00:00,126.8
1/31/2018 16:00:00,127.65
2/1/2018 16:00:00,128.07
2/2/2018 16:00:00,126.39
2/5/2018 16:00:00,126.71
2/6/2018 16:00:00,125.38
2/7/2018 16:00:00,124.79
2/8/2018 16:00:00,124.98
2/9/2018 16:00:00,124.77
2/12/2018 16:00:00,125.37
2/13/2018 16:00:00,126.08
2/14/2018 16:00:00,128.23
2/15/2018 16:00:00,128.38
2/16/2018 16:00:00,127.96
2/20/2018 16:00:00,126.24
2/21/2018 16:00:00,125.66
2/22/2018 16:00:00,126.3
2/23/2018 16:00:00,126.14
2/26/2018 16:00:00,126.45
2/27/2018 16:00:00,125.13
2/28/2018 16:00:00,125
3/1/2018 16:00:00,124.72
3/2/2018 16:00:00,125.39
3/5/2018 16:00:00,125.18
3/6/2018 16:00:00,126.53
3/7/2018 16:00:00,125.72
3/8/2018 16:00:00,125.42
3/9/2018 16:00:00,125.54
3/12/2018 16:00:00,125.54
3/13/2018 16:00:00,125.78
3/14/2018 16:00:00,125.7
3/15/2018 16:00:00,124.9
3/16/2018 16:00:00,124.6
3/19/2018 16:00:00,124.87
3/20/2018 16:00:00,124.31
3/21/2018 16:00:00,126.48
3/22/2018 16:00:00,125.98
3/23/2018 16:00:00,127.61
3/26/2018 16:00:00,128.28
