Date,Close
1/2/2018 16:00:00,157.04
1/3/2018 16:00:00,157.28
1/4/2018 16:00:00,159.44
1/5/2018 16:00:00,161.96
1/8/2018 16:00:00,166.03
1/9/2018 16:00:00,166.43
1/10/2018 16:00:00,165.87
1/11/2018 16:00:00,169.2
1/12/2018 16:00:00,170.3
1/16/2018 16:00:00,169.31
1/17/2018 16:00:00,168.5
1/18/2018 16:00:00,168.83
1/19/2018 16:00:00,170.41
1/22/2018 16:00:00,170.89
1/23/2018 16:00:00,169.43
1/24/2018 16:00:00,168.34
1/25/2018 16:00:00,169.37
1/26/2018 16:00:00,167.06
1/29/2018 16:00:00,162.58
1/30/2018 16:00:00,163.76
1/31/2018 16:00:00,162.78
2/1/2018 16:00:00,162.24
2/2/2018 16:00:00,157.49
2/5/2018 16:00:00,151.08
2/6/2018 16:00:00,156.41
2/7/2018 16:00:00,154.34
2/8/2018 16:00:00,145.99
2/9/2018 16:00:00,149.21
2/12/2018 16:00:00,152.29
2/13/2018 16:00:00,153.97
2/14/2018 16:00:00,158.06
2/15/2018 16:00:00,159.98
2/16/2018 16:00:00,156.29
2/20/2018 16:00:00,155.56
2/21/2018 16:00:00,155.23
2/22/2018 16:00:00,158.86
2/23/2018 16:00:00,162.41
2/26/2018 16:00:00,163.69
2/27/2018 16:00:00,161.26
2/28/2018 16:00:00,154.63
3/1/2018 16:00:00,150.23
3/2/2018 16:00:00,146.38
3/5/2018 16:00:00,151.12
3/6/2018 16:00:00,153.75
3/7/2018 16:00:00,151.51
3/8/2018 16:00:00,153.59
3/9/2018 16:00:00,158.25
3/12/2018 16:00:00,154.5
3/13/2018 16:00:00,153.69
3/14/2018 16:00:00,152.54
3/15/2018 16:00:00,154.57
3/16/2018 16:00:00,156.46
3/19/2018 16:00:00,152.15
3/20/2018 16:00:00,154.06
3/21/2018 16:00:00,155.8
3/22/2018 16:00:00,146.9
3/23/2018 16:00:00,144.29
3/26/2018 16:00:00,149.19
3/27/2018 16:00:00,146.99
3/28/2018 16:00:00,145.16
3/29/2018 16:00:00,147.38
4/2/2018 16:00:00,143.89
4/3/2018 16:00:00,145.06
4/4/2018 16:00:00,145.18
4/5/2018 16:00:00,148.13
4/6/2018 16:00:00,142.99
4/9/2018 16:00:00,143.08
4/10/2018 16:00:00,148.09
4/11/2018 16:00:00,146.79
4/12/2018 16:00:00,150.14
4/13/2018 16:00:00,150.23
4/16/2018 16:00:00,152.14
4/17/2018 16:00:00,153.31
4/18/2018 16:00:00,155.95
4/19/2018 16:00:00,155.7
4/20/2018 16:00:00,153.25
4/23/2018 16:00:00,153.99
4/24/2018 16:00:00,144.44
4/25/2018 16:00:00,145.19
4/26/2018 16:00:00,146.31
4/27/2018 16:00:00,144.72
4/30/2018 16:00:00,144.36
5/1/2018 16:00:00,144.42
5/2/2018 16:00:00,143.86
5/3/2018 16:00:00,143.78
5/4/2018 16:00:00,146.37
5/7/2018 16:00:00,149.82
5/8/2018 16:00:00,149.93
5/9/2018 16:00:00,152.61
5/10/2018 16:00:00,153.97
5/11/2018 16:00:00,154.86
5/14/2018 16:00:00,155.28
5/15/2018 16:00:00,152.59
5/16/2018 16:00:00,153.8
5/17/2018 16:00:00,153.69
5/18/2018 16:00:00,155.71
5/21/2018 16:00:00,158.92
5/22/2018 16:00:00,156.2
5/23/2018 16:00:00,157.74
5/24/2018 16:00:00,157.7
5/25/2018 16:00:00,155.85
5/29/2018 16:00:00,153.62
5/30/2018 16:00:00,155.46
5/31/2018 16:00:00,151.91
6/1/2018 16:00:00,153.52
6/4/2018 16:00:00,152.5
6/5/2018 16:00:00,153.01
6/6/2018 16:00:00,156.51
6/7/2018 16:00:00,156.29
6/8/2018 16:00:00,155.32
6/11/2018 16:00:00,156.3
6/12/2018 16:00:00,157.49
6/13/2018 16:00:00,154.71
6/14/2018 16:00:00,153.14
6/15/2018 16:00:00,150.02
6/18/2018 16:00:00,148.68
6/19/2018 16:00:00,143.3
6/20/2018 16:00:00,143.13
6/21/2018 16:00:00,139.53
6/22/2018 16:00:00,139.94
6/25/2018 16:00:00,136.58
6/26/2018 16:00:00,135.54
